Title,Post date,Issues,Institution(s),Other Organization(s),Story Date,URL,Body,All terms
U Michigan Attains Marine Stewardship Council Certification,Jan 14 2014 - 10:04pm,"January 21, 2014",University of Michigan,,"January 9, 2014",http://www.msc.org/get-certified/supply-chain/news/newsitem/the-first-of-the-big-ten-goes-blue,"The university recently achieved the MSC Chain of Custody third party certification, which supports sustainably-managed fisheries also certified by MSC standards. Five residential dining halls will offer seafood designated as MSC-certified.",Dining Services
Emory U Buildings Receive LEED Certification,Jan 15 2014 - 2:22pm,"January 28, 2014",Emory University,,"January 9, 2014",http://news.emory.edu/stories/2013/12/er_take_note_leed_oxford_yerkes/campus.html,"(U.S.): One university research center received Gold certification and two other buildings received Silver certification, one of which is a historic building constructed in 1874.",Buildings
U North Carolina Chapel Hill Launches Tuition Equity Campaign,Jan 16 2014 - 4:58pm,"January 21, 2014",University of North Carolina at Chapel Hill,,"January 9, 2014",http://www.dailytarheel.com/article/2014/01/undocumented-tuition-0108,"Called One State, One Rate, the new initiative officially supported by students and faculty, aims to give in-state tuition to students without documentation who received a high school diploma or GED from within North Carolina.",Affordability & Access
Harvard U Earns Green Restaurant Rating,Feb 4 2014 - 3:48pm,"February 11, 2014",Harvard University,,"January 10, 2014",http://news.harvard.edu/gazette/story/newsplus/harvards-undergraduate-dining-halls-are-certified-green-restaurants/,"All 13 undergraduate dining halls have earned either two or three-star recognition from the Green Restaurant Association. Sustainable features of the university's Dining Services include energy-efficient HVAC, lighting, refrigeration, and exhaust; organic, sustainable, cage-free, and vegetarian or vegan menu options; low-flow water management devices; recycling, composting and reusables for waste management; and compostable or recycled material disposables.",Assessments & Ratings
U Alberta Introduces Green Lab Certification,Feb 19 2014 - 2:33pm,"February 25, 2014",University of Alberta,,"January 10, 2014",http://sustainability.ualberta.ca/en/News/Sustainability%20News/2014/January/22UAlbertaTeachingLabsEarnGreenSpacesCertification.aspx,"(Canada): As part of the university's Green Spaces certification, the newly developed process specifically tailored toward lab classes recently accredited 22 biology teaching labs, which recognizes best practices in areas such as waste reduction, energy efficiency, chemical handling and water use.",Coordination & Planning
Kent State U to Expand Sustainable Transportation Measures,Jan 20 2014 - 10:56pm,"January 21, 2014",Kent State University,,"January 13, 2014",http://www.ohio.com/news/kent-state-to-offer-zipcars-on-main-campus-1.458999,The university recently contracted with Zipcar to offer a car sharing option to the campus community in hopes of reducing vehicular congestion and carbon emissions.,Transportation
Trinity Western U Implements New Waste Diversion Tools,Jan 20 2014 - 11:38pm,"January 21, 2014",,Trinity Western University,"January 13, 2014",http://www.langleyadvance.com/news/campus-expands-its-recycling-programs-1.787935,Two students were instrumental in recently establishing a post-consumer compost collection system and new clearly marked recycling collection bins.,Waste
Princeton U 2013 Single-Stream Pilot Results,Jan 7 2014 - 3:26pm,"January 14, 2014",Princeton University,,"January 14, 2014",https://sustain.princeton.edu/publications/single-stream-recycling-pilot-results-2013,The downloadable PDF offers the results and conclusions from the recently completed single-stream recycling pilot program.,New Resources
Drilling for Natural Gas at Case Western Reserve U Case Study,Jan 7 2014 - 4:55pm,"January 14, 2014",Case Western Reserve University,,"January 14, 2014",http://students.case.edu/farm/research/doc/gaswell.pdf,"Researchers at the university analyzed the process by which a college or university would go about making the decision to drill for natural gas on its property, including financial and non-financial factors. The paper was recently published in Planning for Higher Education Journal.",New Resources
EAUC Communities of Practice Resource,Jan 8 2014 - 2:30pm,"January 28, 2014",Environmental Association for Universities & Colleges,,"January 14, 2014",http://www.eauc.org.uk/communities_of_practice,"(U.K.): To encourage more specialized learning and information sharing, the Environmental Association for Universities & Colleges offers a member exchange of ideas, skills and experience within the following groups: Fair Trade, information technology, attitudes and behaviors, carbon intensive research and travel planning professionals. AASHE members can gain access to the member-only content of EAUC by logging into aashe.org and viewing this page. http://www.aashe.org/resources/shared-international-resources",New Resources
