Title,Post date,Date; time,Issues,Institution(s),Other Organization(s),URL,Body,All terms
NWF Campus Ecology Webinar: Geothermal on Campus,2011-01-12,"February 24, 2011; 2:00 - 3:00 p.m. Eastern",02/21/2011,,,,"As part of its Greener Campus Conference series, National Wildlife Federation's Campus Ecology will host ""Geothermal on Campus."" The series invites leading practitioners to speak on conservation and other sustainability topics, with a forum for questions and discussion. Each webinar features three to four speakers.",Events
Innovations 2011: International Community College Convention,2011-02-18,"February 27 - March 2, 2011",02/21/2011,,League of Innovation in the Community College,http://www.league.org/i2011/,"Green job programs will be a focus of Innovations 2011, an international conference for community college educators. Sponsored by the League of Innovation in the Community College, the event will feature more than 400 presentations on topics including workforce preparation and development, sustainability, and diversity, equity and inclusion.",Events
ACUPCC Webinar: Understanding Carbon Offsets,2011-02-2,"March 3, 2011; 2:00 - 3:30 p.m. Eastern",02/07/2011,,ACUPCC,http://www.presidentsclimatecommitment.org/node/6533,"Colleges and universities that have signed the American College & University Presidents' Climate Commitment (ACUPCC) are employing a variety of mitigation strategies to drive emissions reductions. For institutions that are planning for climate neutrality, the question often arises of whether and how to incorporate carbon offsets into their carbon reduction strategy. How do you navigate the current offset market? How do you ensure the quality and credibility of available offsets and providers? What are the key questions and issues to consider in your decision making process? ""Understanding Carbon Offsets: Best Practices in Creating and Purchasing High-Quality Offsets"" will help to provide clarity on the complex topic of carbon offsets.",Events
National Clean Energy Workforce Education Conference,2011-02-18,"March 8-10, 2011",02/21/2011,,Interstate Renewable Energy Council,http://irecusa.org/irec-programs/workforce-development/2011-clean-energy-workforce-education-conference/,"Sponsored by the New York State Energy Research and Development Authority and organized by the Interstate Renewable Energy Council, the 4th National Clean Energy Workforce Education Conference will look at the most current information on instructional strategies, curricula development, credentialing and best practices for training in the renewable energy and energy efficiency fields. The conference will present some of the best approaches and teaching models underway at community colleges, technical high schools, skill centers, the trades, industry and other training centers and organizations across the country.",Events
Maximizing Dorm Energy Savings Webinar,2011-03-9,"March 15, 2011; 3:00 -  4:30 p.m. Eastern",03/14/2011,,Telkonet,http://www.telkonet.com/news.php,"New York University and energy management networking provider Telkonet will present a case study on the implementation of occupancy-based energy management initiatives in the educational sector. New York University has worked closely with Telkonet on the implementation of networked energy management solutions in more than 2,600 rooms in 11 dormitories. This webinar will share some of the lessons learned, best practices and performance results from the experience, and where to start and what to consider when beginning a facility energy savings initiative.",Events
United Students for Fair Trade National Convergence,2011-02-16,"March 18-20, 2011",02/21/2011,,United Students for Fair Trade,http://www.usft.org/convergence,"Themed ""Igniting a Movement: Fair Trade Universities,"" the United Students for Fair Trade will host its 7th Annual National Convergence at Western Kentucky University. The three-day conference brings together the nation's top student leaders working on fair trade for an event of expert panels and workshops focused on fair trade and student activism. The deadline to register is Feb. 25, 2011.",Events
AASCU Regional Stewardship Communications Conference,2011-02-18,"March 21-22, 2011",02/21/2011,,,http://www.aascu.org/meetings/comm11/index.htm#register,"Hosted by American Association of State Colleges and Universities (AASCU), ""Leveraging Place, Engaging People"" is designed for senior public relations and marketing professionals at AASCU member institutions. Presentations will include Winona State University's (MN) ""Expanding Our Community of Learners to Improve the World,"" a look at the university's ""WSU Goes Green"" initiative as a case study in how communications connects university resources and community needs.",Events
SustaiNext Summit at Drexel U,2011-02-9,"March 22-23, 2011",02/14/2011,,,http://www.sustainext.org/,"Hosted by Drexel University School of Education’s (PA) Collaborative for Sustainable & Regenerative Education, SustaiNext is a two-year initiative supported by the Sustainability Collaborative and its sponsors, kicked-off in December 2010 at Rutgers University (NJ). The goal is to stimulate regional partnering to help the many organizations, companies and individuals who have been working to integrate sustainability principles while realizing growth. Among other topics, this summit will enable participants to further define sustainable growth, identify unmet organizational needs, understand leading tools, models and processes available to create partnerships and connections to create a sustainable work force, and articulate the benefits of lifecycle and systems thinking within your organization, company and community. Educators and those in industry, community and government professions are encouraged to attend.",Events
STARS Webinar: Next Steps After Earning a STARS Rating,2011-03-9,"March 22, 2011; 2:00 - 3:00 p.m. Eastern",03/14/2011,,,https://www2.gotomeeting.com/register/893215539,"Several institutions have completed their STARS Reports and are now focusing on the next steps. This webinar will feature presentations from Goshen College and College of Lake County, STARS Participants who have submitted a finalized STARS Report, earned a STARS Rating and are planning their continued participation with STARS. The speakers will share an overview of their initial STARS approach and what they anticipate for STARS on their campus over the next year.",Events
UMACS/AASHE Faculty Leadership in Sustainability Workshop,2011-02-16,"March 23–24, 2011",03/14/2011,,,http://www.uwrf.edu/Sustain/FacultyWorkshop.cfm,"Modeled after AASHE's Sustainability Across the Curriculum Leadership Workshops, this workshop will focus on training faculty leaders from all disciplines to develop curriculum change programs around sustainability on their campuses. Hosted by the University of Wisconsin - River Falls, this two-day event of presentations, exercises, discussion, reflection and planning is geared toward Upper Midwest Association for Campus Sustainability (UMACS) and Upper Midwest schools. Registration is open until March 15, 2011 for a limit of 40 slots on a first come, first serve basis. Tuition is $325 for AASHE members and $375 for non-members.",Events
